correct.or.not.1;correct.or.not.2;delay;b1;b2
c;c;0;growl;repeat
c;c;3;wave;repeat
c;c;6;shy;wave
c;c;6;wave;shy
c;c;6;shy;repeat
c;shy;9;growl;repeat
c;c;6;wave;shy
c;c;6;wave;repeat
c;c;9;growl;growl
c;c;9;shy;wave
c;c;9;growl;growl
c;wave;9;shy;repeat
