"correct.or.not.1";"correct.or.not.2";"delay";"b1";"b2"
"c";"c";0;"shy";"repeat"
"c";"c";3;"growl";"growl"
"c";"c";3;"wave";"repeat"
"c";"c";6;"shy";"wave"
"c";"c";6;"wave";"repeat"
"c";"c";9;"shy";"shy"
"c";"n";9;"growl";"repeat"
"c";"c";6;"growl";"wave"
"c";"c";6;"wave";"growl"
"c";"n";6;"growl";"repeat"
"c";"c";3;"wave";"shy"
"c";"c";3;"shy";"repeat"
