correct.or.not.1;correct.or.not.2;delay;b1;b2;
c;c;0;wave;repeat;
c;c;3;chin;repeat;
c;c;6;chin;wave;
c;c;6;snort;repeat;anticipating
c;c;9;snort;wave;anticipating
c;c;9;chin;repeat;
c;chin;12;snort;repeat;biting air after incorrect response
c;c;9;chin;chin;anticipating
c;c;9;wave;chin;anticipating
chin;;0;snort;repeat;
not.ap;;9;wave;repeat;anticipating, target so no repeat
c;c;6;snort;snort;
c;c;6;wave;repeat;
c;snort;9;chin;repeat;
c;c;6;wave;snort;
