 ;correct.or.not.2;delay;b1;b2
c;c;0;giro;wave
c;c;0;wave;repeat
c;wave;3;giro;repeat
c;c;0;growl;growl
c;c;0;giro;growl
c;c;0;giro;repeat
c;c;3;wave;repeat
c;giro+growl;6;growl;giro
c;wave;6;growl;repeat
c;c;3;wave;wave
c;wave;3;giro;repeat
c;wave;0;growl;repeat
c;c;0;wave;giro
c;c;0;wave;repeat
c;wave;3;growl;repeat
