correct.or.not.1;correct.or.not.2;delay;b1;b2
c;c;3;wave;repeat
c;c;6;wave;growl
c;c;6;giro;repeat
c;c;9;growl;wave
c;c;9;wave;repeat
c;c;12;growl;wave
c;wave;12;giro;repeat
c;wave+growl;9;growl;repeat
c;c;6;giro;giro
c;c;6;growl;repeat
c;c;9;wave;growl
c;c;9;giro;repeat
c;growl;12;wave;repeat
c;c;9;giro;giro
c;c;9;growl;repeat
