correct.or.not.1;correct.or.not.2;delay;b1;b2
c;c;0;giro;wave
c;c;0;wave;repeat
c;c;3;giro;repeat
c;c;6;growl;growl
c;c;6;giro;growl
c;c;6;giro;repeat
c;c;9;wave;repeat
c;c;12;growl;giro
c;c;12;growl;repeat
c;c;15;wave;wave
c;growl;15;giro;repeat
c;c;12;growl;repeat
c;c;15;wave;giro
c;growl;15;wave;repeat
c;c;12;growl;repeat
