correct.or.not.1;correct.or.not.2;delay;b1;b2
c;c;0;giro;wave
c;c;0;wave;repeat
c;c;3;giro;repeat
c;c;6;growl;growl
c;c;6;giro;growl
c;wave;6;giro;repeat
c;c;3;wave;repeat
c;c;6;growl;giro
c;wave;6;growl;repeat
c;c;3;wave;wave
c;wave;3;giro;repeat
c;c;0;growl;repeat
c;c;3;wave;giro
c;c;3;wave;repeat
c;wave;6;growl;repeat
