Animal;Session;Behaviour_1;Offered_1;Behaviour_2;Offered_2
Mr Huang;6;repeat;spin;fluff;fluff
Mr Huang;6;fluff;fluff;repeat;fluff
Mr Huang;6;leg;leg;repeat;fluff
Mr Huang;6;repeat;spin;fluff;fluff
Mr Huang;6;spin;spin;leg;leg
Mr Huang;6;wings;wings;repeat;wings
Mr Huang;6;repeat;wings;fluff;fluff
Mr Huang;6;repeat;fluff;repeat;fluff
Mr Huang;6;leg;leg;leg;leg
Mr Huang;6;fluff;fluff;repeat;leg
Mr Huang;6;repeat;fluff;leg;leg
Mr Huang;6;spin;spin;repeat;spin
Mr Huang;6;repeat;fluff;wings;wings
Mr Huang;6;wings;wings;spin;spin
Mr Huang;6;wings;wings;repeat;wings
Mr Huang;6;fluff;fluff;wings;wings
Charlie;1;spin;spin;fluff;fluff
Charlie;1;wings;wings;repeat;wings
Charlie;1;leg;leg;repeat;leg
Charlie;1;repeat;leg;spin;spin
Charlie;1;wings;wings;fluff;fluff
Charlie;1;repeat;leg;repeat;no
Charlie;1;spin;spin;repeat;spin
Charlie;1;leg;leg;fluff;fluff
Charlie;1;leg;leg;wings;wings
Charlie;1;repeat;wings;repeat;wings
Charlie;1;spin;spin;repeat;spin
Charlie;1;repeat;spin;wings;wings
Charlie;1;leg;leg;repeat;leg
Charlie;1;repeat;wings;spin;spin
Charlie;1;leg;leg;wings;wings
Charlie;1;repeat;spin;repeat;spin
Charlie;1;fluff;fluff;repeat;spin
Charlie;1;leg;leg;fluff;fluff
Charlie;1;wings;wings;spin;spin
Charlie;1;repeat;spin;repeat;spin
Charlie;1;fluff;fluff;repeat;leg
Charlie;1;repeat;no;spin;spin
Charlie;1;wings;wings;leg;leg
Charlie;1;fluff;fluff;leg;leg
Charlie;1;repeat;leg;wings;wings
Charlie;1;fluff;wings;spin;spin
Charlie;2;leg;leg;fluff;fluff
Charlie;2;spin;spin;repeat;spin
Charlie;2;fluff;fluff;repeat;fluff
Charlie;2;repeat;leg;wings;wings
Charlie;2;spin;spin;repeat;spin
Charlie;2;repeat;spin;leg;leg
Charlie;2;spin;spin;leg;leg
Charlie;2;repeat;leg;wings;wings
Charlie;2;repeat;wings;repeat;wings+leg
Charlie;2;spin;spin;fluff;fluff
Charlie;2;repeat;leg;wings;wings
Charlie;2;leg;leg;fluff;fluff
Charlie;2;fluff;fluff;repeat;fluff
Charlie;2;repeat;spin;spin;spin
Charlie;2;leg;leg;repeat;spin
Charlie;2;repeat;wings;wings;wings
Charlie;2;wings;wings;repeat;wings
Charlie;2;repeat;wings;leg;wings+leg
Charlie;2;spin;spin;leg;leg
Charlie;2;repeat;fluff;repeat;wings
Charlie;2;wings;wings;leg;leg
Charlie;2;wings;wings;repeat;wings
Charlie;2;wings;wings;spin;spin
Charlie;2;repeat;spin;repeat;spin
Charlie;2;fluff;fluff;fluff;fluff
Charlie;2;spin;spin;fluff;fluff
Charlie;3;spin;spin;leg;leg
Charlie;3;spin;spin;leg;leg
Charlie;3;repeat;leg;repeat;leg
Charlie;3;wings;wings;fluff;fluff
Charlie;3;leg;leg;spin;spin
Charlie;3;repeat;spin;fluff;fluff
Charlie;3;repeat;leg;repeat;leg
Charlie;3;spin;spin;repeat;leg
Charlie;3;repeat;leg;wings;wings
Charlie;3;wings;wings;repeat;wings
Charlie;3;fluff;fluff;spin;spin
Charlie;3;wings;wings;fluff;fluff
Charlie;3;repeat;leg;repeat;leg
Charlie;3;wings;wings;leg;leg
Charlie;3;repeat;wings;repeat;wings
Charlie;3;fluff;wings;leg;leg
Charlie;3;leg;leg;repeat;leg
Charlie;3;spin;spin;fluff;fluff
Charlie;3;wings;wings;repeat;wings
Charlie;3;repeat;wings;spin;spin
Charlie;3;repeat;spin;repeat;spin
Charlie;3;leg;leg;fluff;fluff
Charlie;3;fluff;fluff;repeat;fluff
Charlie;3;wings;wings;repeat;wings
Charlie;3;repeat;wings;leg;leg
Charlie;3;wings;wings;spin;spin
Charlie;4;spin;spin;leg;leg
Charlie;4;fluff;fluff;repeat;leg
Charlie;4;repeat;fluff;leg;leg
Charlie;4;wings;wings;repeat;wings
