correct.or.not.1;correct.or.not.2;delay;b1;b2;
c;c;0;wave;repeat;
c;wave;3;shy;repeat;waving after incorrect response
c;c;0;wave;snort;
c;wave;3;snort;repeat;
c;c;0;shy;wave;
c;wave;3;shy;repeat;
c;c;0;snort;repeat;
c;c;6;snort;wave;
c;shy;0;wave;repeat;
c;c;0;shy;shy;
c;c;0;shy;repeat;
c;c;3;wave;snort;
c;c;0;shy;shy;
c;c;3;snort;repeat;
wave+shy;c;0;wave;repeat;
