correct.or.not.1;correct.or.not.2;delay;b1;b2;
c;c;0;shy;wave;
c;c;0;wave;repeat;
c;snort+wave;0;shy;repeat;
c;c;3;snort;snort;
c;c;3;shy;snort;
c;wave;0;shy;repeat;
c;c;3;wave;repeat;
c;wave+shy;6;snort;shy;
c;c;0;snort;repeat;
c;c;9;wave;wave;
c;wave;9;shy;repeat;
c;c;0;snort;repeat;
c;c;9;wave;shy;
c;c;9;wave;repeat;
not.ap;not.ap;0;snort;repeat;kirstin fell back during delay
