correct.or.not.1;correct.or.not.2;delay;b1;b2
shy+wave;;0;wave;repeat
c;c;0;shy;repeat
wave+shy;;0;wave;snort
c;c;3;snort;repeat
c;c;6;shy;wave
c;c;6;shy;repeat
c;c;9;snort;repeat
c;c;12;snort;wave
c;c;12;wave;repeat
c;c;15;snort;shy
c;wave;15;shy;repeat
c;c;12;wave;snort
c;c;12;shy;shy
c;snort+wave;12;snort;repeat
not.ap;;9;wave;repeat
